UTS,YS,C,Mn,Si,S,P,Cr,Ni,Mo
549.3,272.8,0.045,0.957,1.203,0.01,0.03,18.364,8.157,0.233
555.8,293.6,0.05,0.993,1.24,0.01,0.04,18.301,8.176,0.239
555.8,293.6,0.05,0.993,1.24,0.01,0.04,18.301,8.176,0.239
561.3,251.4,0.057,0.971,1.259,0.01,0.04,18.319,8.15,0.22
561.3,251.4,0.057,0.971,1.259,0.01,0.04,18.319,8.15,0.22
539.6,260.1,0.047,0.892,1.221,0.01,0.04,18.163,8.293,0.286
562.8,268.6,0.043,1.058,1.239,0.01,0.04,18.306,8.264,0.241
562.8,268.6,0.043,1.058,1.239,0.01,0.04,18.306,8.264,0.241
575.9,298.2,0.052,0.956,1.153,0.01,0.04,18.37,8.281,0.226
518.8,290.1,0.061,0.925,1.294,0.01,0.04,18.222,8.322,0.271
518.8,290.1,0.061,0.925,1.294,0.01,0.04,18.222,8.322,0.271
560.2,293.4,0.052,0.919,1.22,0.01,0.04,18.234,8.397,0.225
559.3,220.5,0.042,1.026,1.25,0.01,0.04,18.337,8.212,0.21
535.8,288.1,0.054,0.975,1.161,0.01,0.04,18.232,8.244,0.23
535.8,288.1,0.054,0.975,1.161,0.01,0.04,18.232,8.244,0.23
570.2,299.5,0.044,1.014,1.221,0.01,0.04,18.319,8.225,0.248
570.2,299.5,0.044,1.014,1.221,0.01,0.04,18.319,8.225,0.248
520.5,273.8,0.049,0.955,1.289,0.01,0.04,18.406,8.305,0.238
520.5,273.8,0.049,0.955,1.289,0.01,0.04,18.406,8.305,0.238
520.5,273.8,0.049,0.955,1.289,0.01,0.04,18.406,8.305,0.238
568.8,268.5,0.046,0.937,1.186,0.01,0.03,18.304,8.267,0.25
572.9,289.1,0.054,0.822,1.201,0.01,0.04,18.168,8.256,0.314
578.6,286.3,0.043,0.993,1.253,0.01,0.03,18.197,8.113,0.227
578.6,286.3,0.043,0.993,1.253,0.01,0.03,18.197,8.113,0.227
525.6,298.4,0.043,1,1.171,0.01,0.04,18.291,8.403,0.238
525.6,298.4,0.043,1,1.171,0.01,0.04,18.291,8.403,0.238
530.9,252.8,0.049,1.064,1.254,0.01,0.03,18.232,8.306,0.203
530.9,252.8,0.049,1.064,1.254,0.01,0.03,18.232,8.306,0.203
528.6,258.6,0.044,0.996,1.152,0.01,0.04,18.478,8.353,0.241
538.1,250.3,0.048,1.01,1.183,0.01,0.04,18.321,8.222,0.233
538.1,250.3,0.048,1.01,1.183,0.01,0.04,18.321,8.222,0.233
520.5,280.1,0.044,1.058,1.244,0.01,0.04,18.299,8.333,0.229
549.1,281.6,0.051,1.019,1.211,0.01,0.04,18.337,8.311,0.259
549.1,281.6,0.051,1.019,1.211,0.01,0.04,18.337,8.311,0.259
570.5,251.4,0.049,0.993,1.151,0.01,0.04,18.344,8.341,0.213
570.5,251.4,0.049,0.993,1.151,0.01,0.04,18.344,8.341,0.213
565.6,291.9,0.049,0.99,1.176,0.01,0.04,18.368,8.239,0.235
